value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140438395938672,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140438395939536,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140438395938672,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140438395938672,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396178192,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140438396179152,,
queue,python-pi,faas-workloads/python-pi,140438396180112,,
queue,fio,faas-workloads/fio,140438396181072,,
start,speech-inference,faas-workloads/speech-inference-tflite,140438395939536,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140438395939536,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396178192,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438396178192,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140438396179152,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140438396179152,nano_3,True
start,python-pi,faas-workloads/python-pi,140438396180112,,
finish,python-pi,faas-workloads/python-pi,140438396180112,rockpi_8,True
start,fio,faas-workloads/fio,140438396181072,,
finish,fio,faas-workloads/fio,140438396181072,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140438393993440,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140438394266736,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140438393993440,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140438393993440,nx_3,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438394266880,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140438394268800,,
queue,python-pi,faas-workloads/python-pi,140438394268944,,
queue,fio,faas-workloads/fio,140438394269904,,
start,speech-inference,faas-workloads/speech-inference-tflite,140438394266736,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140438394266736,rockpi_8,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438394266880,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140438394266880,nx_10,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140438394268800,,
