value,name,type,data_type
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_95,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_29,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rockpi_0,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_95,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_29,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_1,downlink,data_download
48000000,shared_1,shared,data_download
48000000,link_rockpi_0,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_9,downlink,data_download
103000000,shared_9,shared,data_download
103000000,link_nx_1,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rpi3_167,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_6,downlink,data_download
103000000,shared_6,shared,data_download
103000000,link_nx_0,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rpi4_149,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rpi3_165,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_2,downlink,data_download
48000000,shared_2,shared,data_download
48000000,link_rpi3_166,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_3,downlink,data_download
48000000,shared_3,shared,data_download
48000000,link_rpi4_66,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_3,downlink,data_download
48000000,shared_3,shared,data_download
48000000,link_rpi4_67,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_6,downlink,data_download
103000000,shared_6,shared,data_download
103000000,link_nx_0,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_tx2_1,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_6,downlink,data_download
103000000,shared_6,shared,data_download
103000000,link_tx2_2,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_tx2_0,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_9,downlink,data_download
103000000,shared_9,shared,data_download
103000000,link_nx_1,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_6,downlink,data_download
103000000,shared_6,shared,data_download
103000000,link_nx_0,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_4,downlink,data_download
48000000,shared_4,shared,data_download
48000000,link_rpi4_161,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_4,downlink,data_download
48000000,shared_4,shared,data_download
48000000,link_rpi4_160,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_3,downlink,data_download
48000000,shared_3,shared,data_download
48000000,link_rpi3_26,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_5,downlink,data_download
48000000,shared_5,shared,data_download
48000000,link_rpi3_84,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_4,downlink,data_download
48000000,shared_4,shared,data_download
48000000,link_rpi4_97,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_4,downlink,data_download
48000000,shared_4,shared,data_download
48000000,link_rpi4_96,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_rockpi_33,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_rockpi_45,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_rockpi_33,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_rpi4_70,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_rpi4_71,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_6,downlink,data_download
48000000,shared_6,shared,data_download
48000000,link_rockpi_45,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_9,downlink,data_download
103000000,shared_9,shared,data_download
103000000,link_nx_1,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_9,downlink,data_download
103000000,shared_9,shared,data_download
103000000,link_nx_2,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_15,downlink,data_download
103000000,shared_15,shared,data_download
103000000,link_tx2_3,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_17,downlink,data_download
103000000,shared_17,shared,data_download
103000000,link_nx_3,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_21,downlink,data_download
103000000,shared_21,shared,data_download
103000000,link_nano_1,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_7,downlink,data_download
48000000,shared_7,shared,data_download
48000000,link_rockpi_76,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_shared_21,downlink,data_download
103000000,shared_21,shared,data_download
103000000,link_nano_0,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_7,downlink,data_download
48000000,shared_7,shared,data_download
48000000,link_rockpi_50,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_7,downlink,data_download
48000000,shared_7,shared,data_download
48000000,link_rockpi_57,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_7,downlink,data_download
48000000,shared_7,shared,data_download
48000000,link_rockpi_57,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_7,downlink,data_download
48000000,shared_7,shared,data_download
48000000,link_rockpi_76,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_7,downlink,data_download
48000000,shared_7,shared,data_download
48000000,link_rockpi_50,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_8,downlink,data_download
48000000,shared_8,shared,data_download
48000000,link_rockpi_66,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_8,downlink,data_download
48000000,shared_8,shared,data_download
48000000,link_rockpi_4,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_8,downlink,data_download
48000000,shared_8,shared,data_download
48000000,link_rpi4_74,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_8,downlink,data_download
48000000,shared_8,shared,data_download
48000000,link_rpi4_75,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_8,downlink,data_download
48000000,shared_8,shared,data_download
48000000,link_rockpi_66,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_8,downlink,data_download
48000000,shared_8,shared,data_download
48000000,link_rockpi_4,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_9,downlink,data_download
48000000,shared_9,shared,data_download
48000000,link_rockpi_40,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_cloudlet_0,downlink,data_download
103000000,link_xeongpu_1,node,data_download
103000000,link_rockpi_74,node,data_download
103000000,shared_68,shared,data_download
103000000,up_shared_68,uplink,data_download
103000000,down_cloudlet_0,downlink,data_download
103000000,link_xeongpu_0,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_9,downlink,data_download
48000000,shared_9,shared,data_download
48000000,link_rpi4_118,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_9,downlink,data_download
48000000,shared_9,shared,data_download
48000000,link_rpi4_119,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_9,downlink,data_download
48000000,shared_9,shared,data_download
48000000,link_rockpi_40,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_9,downlink,data_download
48000000,shared_9,shared,data_download
48000000,link_coral_2,node,data_download
48000000,link_rockpi_74,node,data_download
48000000,shared_68,shared,data_download
48000000,up_shared_68,uplink,data_download
48000000,down_shared_9,downlink,data_download
48000000,shared_9,shared,data_download
48000000,link_coral_3,node,data_download
58000000,link_rockpi_74,node,data_download
58000000,shared_68,shared,data_download
