bytes,duration,source,sink,action_type
100000000,0.8261549009728913,registry,nano_21,docker_pull
100000000,0.8281022591891884,registry,tx2_0,docker_pull
100000000,0.8275840186116696,registry,tx2_1,docker_pull
100000000,0.8264115848864085,registry,nano_9,docker_pull
100000000,0.8261209802876989,registry,nano_16,docker_pull
100000000,0.8266247970410636,registry,nano_15,docker_pull
100000000,0.8279774742078094,registry,nano_0,docker_pull
100000000,0.8263565904842327,registry,nano_17,docker_pull
100000000,0.827865751315521,registry,nano_1,docker_pull
100000000,0.8262543250288825,registry,nano_19,docker_pull
100000000,0.8262464091471138,registry,nano_14,docker_pull
100000000,0.826304291932451,registry,nano_20,docker_pull
103000000,5.122042389902774,nuc_9,nano_21,data_download
103000000,5.142129973268316,nuc_9,nano_16,data_download
103000000,5.155900689244218,nuc_9,nano_9,data_download
103000000,5.157071608290206,nuc_9,tx2_0,data_download
103000000,5.154965778690913,nuc_9,nano_15,data_download
103000000,5.159422891962251,nuc_9,tx2_1,data_download
100000000,0.8263563967119119,registry,nano_8,docker_pull
100000000,0.8262690940972881,registry,nano_12,docker_pull
100000000,0.8276073775982251,registry,tx2_2,docker_pull
100000000,0.8277168443879557,registry,tx2_3,docker_pull
100000000,0.8453969027342882,registry,nano_10,docker_pull
100000000,0.8262138869328464,registry,nano_13,docker_pull
100000000,0.8264462263834176,registry,nano_18,docker_pull
100000000,0.8262579371776155,registry,nano_22,docker_pull
100000000,0.8278430940146073,registry,nx_1,docker_pull
100000000,1.6511872078942673,registry,nx_0,docker_pull
100000000,1.6510758066937008,registry,nx_0,docker_pull
58000000,11.409630457365669,nuc_9,nano_0,data_download
58000000,11.425438926157645,nuc_9,nano_20,data_download
58000000,11.595846470691509,nuc_9,nano_0,data_download
58000000,11.705889851481356,nuc_9,nano_0,data_download
58000000,12.189110033142061,nuc_9,nano_0,data_download
58000000,12.25426351485725,nuc_9,nano_20,data_download
58000000,12.386909345409716,nuc_9,nano_20,data_download
58000000,12.426232898474879,nuc_9,nano_0,data_download
58000000,12.456544714051454,nuc_9,nano_20,data_download
58000000,12.541600105033412,nuc_9,nano_20,data_download
58000000,12.607455952669456,nuc_9,nano_0,data_download
58000000,12.809558661247056,nuc_9,nano_20,data_download
58000000,13.100688446537731,nuc_9,nano_0,data_download
58000000,13.231331282898665,nuc_9,nano_20,data_download
58000000,13.370525824083941,nuc_9,nano_20,data_download
58000000,13.421021443039965,nuc_9,nano_0,data_download
100000000,0.8279549187741715,registry,tx2_4,docker_pull
100000000,0.8412315191731174,registry,nano_11,docker_pull
100000000,0.9805349682638393,registry,nx_1,docker_pull
100000000,0.827980191122915,registry,tx2_5,docker_pull
100000000,0.8279097524742269,registry,tx2_6,docker_pull
100000000,0.8280604890297738,registry,nano_2,docker_pull
100000000,0.8458582665142913,registry,nano_3,docker_pull
58000000,16.1514576240137,nuc_9,nano_10,data_download
58000000,17.051975126569353,nuc_9,nano_10,data_download
58000000,17.23500093445005,nuc_9,nano_10,data_download
58000000,17.399389221162238,nuc_9,nano_10,data_download
58000000,17.573540269375556,nuc_9,nano_10,data_download
103000000,23.83188655159269,nuc_9,nano_1,data_download
58000000,17.866995792337804,nuc_9,nano_10,data_download
103000000,24.520551437142615,nuc_9,nano_19,data_download
103000000,24.65380812669163,nuc_9,nano_17,data_download
103000000,24.708058037263406,nuc_9,nano_14,data_download
58000000,17.862235649761907,nuc_9,nano_10,data_download
100000000,0.8275297491800302,registry,nano_4,docker_pull
100000000,0.827592981137542,registry,nano_5,docker_pull
100000000,0.8276950635568632,registry,nano_6,docker_pull
100000000,0.8277218484072293,registry,nano_7,docker_pull
58000000,18.241816255258847,nuc_9,nano_10,data_download
58000000,18.099309714590667,nuc_9,nx_1,data_download
58000000,19.07726631340206,nuc_9,nx_1,data_download
58000000,18.729748771943665,nuc_9,nx_0,data_download
100000000,0.826355647735312,registry,nano_21,docker_pull
100000000,0.8264665773629858,registry,nano_9,docker_pull
58000000,19.470909145686104,nuc_9,nx_1,data_download
58000000,19.50519164883314,nuc_9,nx_1,data_download
58000000,19.73365446724695,nuc_9,nx_0,data_download
58000000,19.57204314408799,nuc_9,nx_0,data_download
58000000,19.965666603245374,nuc_9,nx_0,data_download
200000000,4.950164128865104,registry,xeongpu_0,docker_pull
200000000,4.950274329791519,registry,xeongpu_1,docker_pull
200000000,4.950114009314291,registry,xeongpu_2,docker_pull
58000000,20.219593531338955,nuc_9,nano_11,data_download
100000000,0.8261454805869093,registry,nano_19,docker_pull
58000000,21.144271803284976,nuc_9,nano_11,data_download
58000000,21.644626562720134,nuc_9,nano_11,data_download
58000000,20.946569348440555,nuc_9,nano_11,data_download
58000000,22.461637505399544,nuc_9,nano_11,data_download
58000000,22.92425690931159,nuc_9,nano_11,data_download
103000000,35.205145002695915,nuc_9,tx2_2,data_download
58000000,22.931751565109323,nuc_9,nano_11,data_download
103000000,35.363164809386554,nuc_9,tx2_3,data_download
103000000,35.37049090840223,nuc_9,nano_8,data_download
103000000,35.455951458390416,nuc_9,nano_12,data_download
58000000,23.619446251540175,nuc_9,nano_11,data_download
58000000,24.25551145618051,nuc_9,nano_3,data_download
58000000,24.676903032629433,nuc_9,nano_3,data_download
100000000,0.8393643097093673,registry,nano_2,docker_pull
58000000,25.103275025197522,nuc_9,nano_3,data_download
58000000,24.83744286709055,nuc_9,nano_3,data_download
58000000,25.185316863846776,nuc_9,nano_3,data_download
58000000,25.43525257979582,nuc_9,nano_3,data_download
58000000,26.084377793863073,nuc_9,nano_3,data_download
58000000,26.464894518170016,nuc_9,nano_3,data_download
103000000,41.76537913716382,nuc_9,nano_22,data_download
103000000,41.865644883785,nuc_9,nano_13,data_download
103000000,42.146925298248426,nuc_9,nano_18,data_download
103000000,38.61182884092856,nuc_9,nx_0,data_download
58000000,28.0603516605165,nuc_9,nano_7,data_download
58000000,28.182310965740815,nuc_9,nano_7,data_download
103000000,43.01755804401031,nuc_9,nx_0,data_download
58000000,27.320361995241697,nuc_9,nano_7,data_download
58000000,28.146775108343984,nuc_9,nano_7,data_download
100000000,0.8365293161480736,registry,nano_16,docker_pull
100000000,0.8364725826026813,registry,nano_15,docker_pull
103000000,40.78498466802748,nuc_9,tx2_4,data_download
58000000,29.5159488693756,nuc_9,nano_7,data_download
58000000,30.17115566725731,nuc_9,nano_7,data_download
58000000,30.4274427970349,nuc_9,nano_7,data_download
100000000,0.8356315452816574,registry,nano_8,docker_pull
100000000,0.8359322321548177,registry,nano_12,docker_pull
103000000,46.909478863889646,nuc_9,nx_1,data_download
58000000,31.85396869378451,nuc_9,nano_7,data_download
58000000,32.97752050056231,nuc_9,nano_9,data_download
103000000,49.31922683808652,nuc_9,nx_1,data_download
58000000,33.50022728201426,nuc_9,nano_21,data_download
100000000,0.8460522429793969,registry,nano_4,docker_pull
100000000,0.8458543554512943,registry,nano_5,docker_pull
58000000,34.19535341468849,nuc_9,nano_9,data_download
58000000,35.029167469200424,nuc_9,nano_21,data_download
58000000,35.37569548841349,nuc_9,nano_9,data_download
100000000,0.8357096966671662,registry,tx2_4,docker_pull
58000000,35.95403536366208,nuc_9,nano_21,data_download
58000000,37.2052676920241,nuc_9,nano_9,data_download
58000000,36.9887091647859,nuc_9,nano_0,data_download
58000000,37.55663001622328,nuc_9,nano_21,data_download
58000000,38.562352675581195,nuc_9,nano_19,data_download
58000000,38.671027750762605,nuc_9,nano_0,data_download
100000000,0.8425371731283917,registry,tx2_0,docker_pull
100000000,0.8425954613105802,registry,tx2_1,docker_pull
58000000,38.06630525506204,nuc_9,nano_19,data_download
